Bienvenue & Robertson,designer
Maxwell Typing,collaborator
North Hill News Ltd.,collaborator
Bienvenue & Robertson,designer
Maxwell Typing,collaborator
North Hill News Ltd.,collaborator
Robertson & Bienvenue,designer
Maxwell Typing,collaborator
North Hill News Ltd.,collaborator
Bienvenue & Robertson,designer
Maxwell Typing,collaborator
North Hill News Ltd.,collaborator
North Hill News Ltd.,printer
Committee of Small Magazine Editors and Publishers,collaborator
Maxwell Typing,collaborator
Victori-Awe,author
Maxwell Typing,collaborator
North Hill News Ltd.,printer
North Hill News Ltd.,printer
Committee of Small Magazine Editors and Publishers,collaborator
Maxwell Typing,collaborator
North Hill News Ltd.,printer
Committee of Small Magazine Editors and Publishers,collaborator
Maxwell Typing,collaborator
W.O.R.K.S. Publications,photographer
PinkType,collaborator
Women's Press,collaborator
PinkType,collaborator
Toronto Committee for the Liberation of South Africa,interviewer
PinkType,collaborator
PinkType,collaborator
Fuse,collaborator
Women's Press,collaborator
North Hill News Ltd.,printer
Committee of Small Magazine Editors and Publishers,collaborator
"Students' Union, University Of Calgary",collaborator
W.O.R.K.S.,designer
PinkType,collaborator
Teak Printing Services Ltd.,collaborator
PinkType,collaborator
Anduhyaun Inc.,collaborator
Women's Press,collaborator
Ontario Native Women's Association,author
Avairy Productions,photographer
Midnight Sun,editor
Chrystos,poet
Makweeneski,poet
Midnight Sun,poet
Ad Seil E Tos kee,poet
Flying Clouds,poet
Falling Blossom,author
Marginal Distributing,collaborator
Delta Web Graphics,collaborator
Canadian Periodical Publishers' Association,collaborator
Our Times,collaborator
PinkType,collaborator
,collaborator
,collaborator
PinkType,collaborator
Women's Press,collaborator
Metronymy Productions,collaborator
People's Canada Publishing,printer
"Miller, Miller and Mills",collaborator
Nayman/Grabowski,collaborator
Jones,author
Never Again Affinity Group,author
Women's Press,collaborator
Delta Web Graphics,printer
PinkType,collaborator
Teak Printing Services Ltd.,collaborator
Charlie,collaborator
Harbourfront Public Relations Dept.,collaborator
Toronto Women's Bookstore,collaborator
Longhouse Book Shop Inc.,collaborator
Marginal Distributing,collaborator
Delta Web Graphics,collaborator
Canadian Periodical Publishers' Association,collaborator
Body Politic,collaborator
Delta Web Graphics,printer
Rebel Type,collaborator
Our Times,printer
Delta Web Graphics,printer
Type A,collaborator
Rafy,photographer
On the Run Graphics,designer
Delta Web Graphics,printer
Type A,collaborator
Excalibur,collaborator
Chalka Design and Industrial Printing,printer
Marginal Distributing,collaborator
Chalka Design and Industrial Printing,collaborator
Canadian Periodical Publishers' Association,collaborator
Body Politic,collaborator
Delta Web Graphics,printer
The Strike Collective,author
Marginal Distributing,collaborator
Delta Web Graphics,collaborator
Canadian Periodical Publishers' Association,collaborator
Pink Triangle Press,collaborator
Delta Web Graphics,printer
Union Art Services,illustrator
Hide Magazine,illustrator
5th Column,interviewee
PinkType,collaborator
Delta Web Graphics,printer
Union Art Services,illustrator
Our Times,printer
54 Delaware Avenue,producer
Delta Web Graphics,printer
Rebel Type,collaborator
Delta Web Graphics,printer
Delta Web Graphics,printer
Union Art Services,illustrator
Mecate,illustrator
Lama Labs,collaborator
Maclean-Hunter Ltd.,printer
Lama Labs,collaborator
Delta Web Graphics,printer
Union Art Services,illustrator
Art Workers Union,illustrator
Tin Sheds Graphics Workshop,illustrator
Steinward,photographer
Delta Web Graphics,printer
PinkType,collaborator
Delta Web Graphics,printer
Cultural Workers' Alliance,collaborator
Van Dyck & Meyers,photographer
Law Union of Ontario,collaborator
Purnima,illustrator
Cultural Workers' Alliance,author
Law Union of Ontario,author
PinkType,collaborator
Maclean-Hunter Ltd.,printer
PinkType,collaborator
Teak Printing Services Ltd.,collaborator
Delta Web Graphics,printer
Delta Web Graphics,printer
Incite Collective,author
Delta Web Graphics,printer
Type A,collaborator
Delta Web Graphics,printer
Union Art Services,illustrator
925 Magazine,collaborator
Partisan,photographer
N.F.B.,photographer
OPSEU,photographer
Fuse,interviewer
East Indian Refugee Aid Committee,interviewee
Delta Web Graphics,printer
Rosetta Records,photographer
Lama Labs,collaborator
Maclean-Hunter Ltd.,printer
Delta Web Graphics,printer
Toronto Artists' Union,author
Four the Moment,interviewee
Lama Labs,collaborator
Maclean-Hunter Ltd.,printer
Delta Web Graphics,printer
The Government,interviewee
General Idea,author
Marshalore,interviewee
Delta Web Graphics,printer
Lama Labs,collaborator
Delta Web Graphics,printer
Union Art Services,illustrator
Honor-Ford-Smith,collaborator
PinkType,collaborator
Delta Web Graphics,printer
Housewives in Dialogue,collaborator
Delta Web Graphics,printer
Artista Records,photographer
Body Politic,photographer
NFB,photographer
Moral Lepers,photographer
Women's Press,photographer
Delta Web Graphics,printer
Lama Labs,collaborator
Delta Web Graphics,printer
Bowden's Wire Service,collaborator
General Idea,author
Delta Web Graphics,printer
Williams/Wallace Publishers,photographer
E.P. Dutton Inc.,photographer
Delta Web Graphics,printer
The Independent Artists Union,collaborator
Plum Studios,photographer
Rebel Zone,collaborator
The Independent Artists Union,author
Delta Web Graphics,printer
WEAT Television,photographer
Body Politic,photographer
Rebel Type,collaborator
Moral Lepers,interviewee
Delta Web Graphics,printer
Type A,collaborator
The Ontario Coalition for Abortion Clinics,author
Delta Web Graphics,printer
PinkType,collaborator
Teak Printing Services Ltd.,collaborator
Women Healthsharing,collaborator
Toronto Women's Bookstore,collaborator
Longhouse Book Shop Inc.,collaborator
Lama Labs,collaborator
Maclean-Hunter Ltd.,printer
The Film League,collaborator
Monkey,photographer
C.P.P.A.,collaborator
TBA,interviewee
The Film League,author
Delta Web Graphics,printer
Arista Records,photographer
Black Rose Books,photographer
Body Politic,photographer
Broadside,photographer
Clarion,photographer
Cruise Missile Conversion Project,photographer
Flying Fish Records,photographer
GLARE,photographer
Orpen & Dennys,photographer
Pan Canadian,photographer
Paradise Films,photographer
Philadelphia International Records,photographer
Red Star Media Group,photographer
Delta Web Graphics,printer
RUNT,designer
B-Bond,photographer
Rebel Type,collaborator
Lama Labs,collaborator
Maclean-Hunter Ltd.,printer
Delta Web Graphics,printer
Type A,collaborator
Delta Web Graphics,printer
Franklin,photographer
Delta Web Graphics,printer
Arista Records,photographer
Black Rose Books,photographer
Bola Press,photographer
International General,photographer
Megatek,photographer
Poetry in Motion,photographer
Processed World,photographer
Toronto Clarion,photographer
The Feminist Editorial,author
PinkType,collaborator
Teak Printing Services Ltd.,collaborator
Mama Quilla Collective,author
Nightwood Theatre,collaborator
PinkType,collaborator
The H.A.G.,collaborator
PinkType,collaborator
The H.A.G.,illustrator
